statement_index,statement_source,statement_period,statement_row,date,transaction,ident,debit,credit,balance,row_type,category_name,income_source
0,ExtractoOccidente.pdf,2026-01,1,2026-01-02,BRE-B ENVIADA OTROS BANCOS,,165086.00,0.00,5247095.49,expense,Other,
0,ExtractoOccidente.pdf,2026-01,2,2026-01-02,BRE-B ENVIADA OTROS BANCOS,,91000.00,0.00,5156095.49,expense,Other,
0,ExtractoOccidente.pdf,2026-01,3,2026-01-02,BRE-B ENVIADA OTROS BANCOS,,67000.00,0.00,5089095.49,expense,Other,
0,ExtractoOccidente.pdf,2026-01,4,2026-01-02,INTERESES LIQUIDADOS,,0.00,1.48,5089096.97,income,,Bank interest
0,ExtractoOccidente.pdf,2026-01,5,2026-01-02,GMF,0000000,1292.34,0.00,5087804.63,expense,Taxes,
0,ExtractoOccidente.pdf,2026-01,6,2026-01-05,INTERESES LIQUIDADOS,,0.00,1.39,5087806.02,income,,Bank interest
0,ExtractoOccidente.pdf,2026-01,7,2026-01-05,INTERESES LIQUIDADOS,,0.00,1.39,5087807.41,income,,Bank interest
0,ExtractoOccidente.pdf,2026-01,8,2026-01-05,INTERESES LIQUIDADOS,,0.00,1.39,5087808.80,income,,Bank interest
0,ExtractoOccidente.pdf,2026-01,9,2026-01-06,PAGO TERCERO RECIBIDO DESDE ACH,A361262,0.00,1667420.00,6755228.80,income,,ACH transfer received
0,ExtractoOccidente.pdf,2026-01,10,2026-01-06,PANADERIA EL SAMAN NDI,,27000.00,0.00,6728228.80,expense,Food & Dining,
0,ExtractoOccidente.pdf,2026-01,11,2026-01-06,TIENDA D1 JAMUNDI VER DI,,288730.00,0.00,6439498.80,expense,Groceries,
0,ExtractoOccidente.pdf,2026-01,12,2026-01-06,TIENDAS ARA DI,,170800.00,0.00,6268698.80,expense,Groceries,
0,ExtractoOccidente.pdf,2026-01,13,2026-01-06,BRE-B ENVIADA OTROS BANCOS,,400000.00,0.00,5868698.80,expense,Other,
0,ExtractoOccidente.pdf,2026-01,14,2026-01-06,INTERESES LIQUIDADOS,,0.00,1.39,5868700.19,income,,Bank interest
0,ExtractoOccidente.pdf,2026-01,15,2026-01-06,GMF,0000000,3546.12,0.00,5865154.07,expense,Taxes,
